label,uri
Burnett Mary,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/301
Cape York,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/302
Condamine,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/303
Cooperative Management Area,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/304
Desert Channels,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/305
Fitzroy Basin,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/306
North Queensland Dry Tropics,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/307
Northern Gulf,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/308
Queensland Murray Darling Basin,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/309
Reef Catchments,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/310
South East Queensland,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/311
South West Queensland,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/312
Southern Gulf,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/313
Terrain NRM,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/314
Torres Strait,https://linked.data.gov.au/dataset/asgs2016/naturalresourcemanagementregion/315
